"Int_no","Rue_1","Rue_2","Arrondissement","X","Y"
4387,"Brennan","Nazareth","Ville-Marie",300521.84,5039419.5
4427,"Musée","Sherbrooke","Ville-Marie",298583.7,5039879.14
4582,"Durocher","Van Horne","Outremont",296096.41,5042722
4643,"Cartier","René-Lévesque","Ville-Marie",300958.86,5042462.08
4672,"Notre-Dame","Station Chemin de la(face IGA)","Sud-Ouest",298257.95,5037580.06
4794,"Acadie","Ogilvy","Villeray - Saint-Michel - Parc-Extension",294816,5042762
5006,"Bellechasse","Saint-Laurent","Rosemont - Petite-Patrie",296570.85,5043218.2
5371,"Beaubien","Boyer","Rosemont - Petite-Patrie",296814.8,5044131.58
5643,"Albani","Rosemont","Mercier - Hochelaga - Maisonneuve",300329,5049189
5721,"Crowley","Décarie","Côte-des-Neiges - Notre-Dame-de-Grâce",296644.09,5036930.37
5725,"Lacordaire","Saint-Zotique","Saint-Léonard",299406.6,5049084
6152,"Edouard-Montpetit","Vincent-d'Indy","Outremont",296033.7,5041145.47
6189,"Carlton","Côte-des-Neiges","Côte-des-Neiges - Notre-Dame-de-Grâce",294338.46,5040196.7
6283,"Clark","Montigny","Ville-Marie",299670.13,5041138.18
6379,"De Contrecoeur","Sherbrooke","Mercier - Hochelaga - Maisonneuve",302766.43,5052437.26
6469,"Monk","Notre-Dame","Sud-Ouest",296974.6,5036300.5
6602,"Angrignon","Saint-Patrick","LaSalle",295070,5034634.99
7078,"Érables","Saint-Joseph","Plateau Mont-Royal",298802.57,5044242.1
7084,"Côte-Sainte-Catherine","Laurier","Outremont",297053.22,5041793.5
7148,"Côte-Sainte-Catherine","Stuart","Outremont",296505.72,5041716.05
7149,"Bélanger","Lacordaire","Saint-Léonard",299135.74,5049212.05
7197,"Marcel-Laurin","Saint-Louis","Saint-Laurent",290947.38,5040506
7206,"Patricia","Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",293752.84,5035047.06
7211,"Côte-des-Neiges","4595 (accès cimetière)","Côte-des-Neiges - Notre-Dame-de-Grâce",296303.4,5039561
7276,"7e Avenue","Sherbrooke","Rivières-des-Prairies - Pointe-aux-Trembles",303653.42,5055718.54
7708,"83e avenue","Antoine-Chaudillon/Notre-Dame","Rivières-des-Prairies - Pointe-aux-Trembles",305652.86,5061181.67
7712,"Arcade","Saint-Laurent","Plateau Mont-Royal",296713.51,5043116.52
7721,"Assomption","Jean-Talon","Saint-Léonard",298493.09,5049037
8201,"Côte-Sainte-Catherine","Maplewood / Villeneuve","Outremont",297420.41,5041778
8204,"Côte-Sainte-Catherine","McEachran","Outremont",296284.79,5041644.66
8256,"Côte-Vertu","Décarie","Saint-Laurent",290519.64,5041608.28
8258,"Décarie","Dion","Saint-Laurent",291589.3,5040623.8
8458,"Filion","Henri-Bourassa","Saint-Laurent",289584.88,5043111.5
8792,"Grenet","Laval","Saint-Laurent",288858.09,5042489.5
8830,"Henri-Bourassa","Saint-Michel","Montréal-Nord",293069.49,5049345.87
8831,"Henri-Bourassa","Séguin","Ahuntsic - Cartierville",292475.43,5047950.72
8832,"Henri-Bourassa","Toupin","Saint-Laurent",287586.12,5041573.12
8851,"Gariépy","Henri-Bourassa","Montréal-Nord",293610.73,5050551.57
8852,"Garon","Henri-Bourassa","Montréal-Nord",293812.68,5050899.82
8873,"Henri-Bourassa","Mère Anselme / Parc-Georges","Montréal-Nord",293240.17,5049886.49
8888,"Henri-Bourassa","Saint-Vital","Montréal-Nord",293341.75,5050091.3
9019,"Buies","Jean-Talon","Saint-Léonard",298072.69,5048089.5
9025,"Dollier","Jean-Talon","Saint-Léonard",298355.75,5048704
9032,"Jean-Talon","Michelet","Saint-Léonard",298270.47,5048495.5
9151,"Langelier","P,-E.-Lamarche","Saint-Léonard",297769.1,5050923.72
9271,"Davaar","Manoir","Outremont",295359.47,5042149.44
9453,"Arthur-Champoux","Pie IX","Montréal-Nord",293856,5050428
9454,"Castille de","Pie-IX","Montréal-Nord",294078.1,5050127.04
9461,"Martial","Pie-IX","Montréal-Nord",293983.46,5050254.26
9684,"Lapierre","Saint-Patrick","LaSalle",294312.53,5033908.45
9864,"Gilberte-Dubé","Wellington","Verdun",299802.78,5036797.5
9994,"Loire de la","Voie serv. A-40 Est","Anjou",300088.31,5052382.01
10271,"Alexis-Nihon","Côte-Vertu","Saint-Laurent",289752.19,5040740.49
11164,"Beaudet","Marcel-Laurin","Saint-Laurent",290568.61,5040734.39
11176,"Beaulac","Côte-Vertu","Saint-Laurent",288683.9,5039543.7
11251,"Bédard / Hardy","Dollard","LaSalle",294037.01,5032579.58
11283,"Bégin","Côte-Vertu","Saint-Laurent",288361.84,5039179.68
11478,"Bertrand","Côte-Vertu","Saint-Laurent",289428.37,5040381.52
11812,"Bourdaloue","Lacordaire","Saint-Léonard",298772.2,5049266.58
11839,"Bourgoin","Côte-Vertu","Saint-Laurent",289579.2,5040545.91
12315,"Cardinal","Côte-Vertu","Saint-Laurent",290373.35,5041443.37
12453,"Cavendish","Côte-Vertu","Saint-Laurent",289041.67,5039940.55
12458,"Cavendish","Ernest-Hemingway","Saint-Laurent",287946.48,5040925.67
12459,"Cavendish","Raymond-Lasnier","Saint-Laurent",288068.63,5040816.73
13141,"Collège","Marcel-Laurin","Saint-Laurent",290716.8,5040616.23
13146,"Collège","Sainte-Croix","Saint-Laurent",291330.66,5041307
13279,"Côte-Vertu","Place Côte-Vertu","Saint-Laurent",288841.65,5039718.52
13280,"Côte-Vertu","Crevier","Saint-Laurent",290317.02,5041376.86
13281,"Côte-Vertu","Duguay / Hill","Saint-Laurent",289344.45,5040283.99
13283,"Côte-Vertu","Gohier","Saint-Laurent",290451.65,5041531.08
13285,"Côte-Vertu","Hocquart","Saint-Laurent",289196.83,5040116.25
13289,"Côte-Vertu","Leduc","Saint-Laurent",290216.98,5041266.9
13290,"Côte-Vertu","Marlatt","Saint-Laurent",289955.44,5040972.98
13293,"Côte-Vertu","O'Brien","Saint-Laurent",290692.61,5041784.21
13300,"Côte-Vertu","Saint-Germain","Saint-Laurent",290615.84,5041713.74
13332,"Couture","Lacordaire","Saint-Léonard",296319.41,5050749.53
13653,"Decelles","Marcel-Laurin","Saint-Laurent",290284.91,5040986.92
13660,"Decelles","Sainte-Croix","Saint-Laurent",290905.03,5041681
13671,"Deguire","O'Brien","Saint-Laurent",290056,5042347.5
14105,"Duval / Saint-Denis","Saint-Charles","Pierrefonds - Roxboro",275613.63,5036257.27
14209,"Église","Marcel-Laurin","Saint-Laurent",290440.96,5040847.58
14215,"Église","Sainte-Croix","Saint-Laurent",291073.47,5041533.5
14713,"Galets des","Lacordaire","Saint-Léonard",297348.21,5049559.77
15140,"Harry-Worth","Saint-Jean","Pierrefonds - Roxboro",277431.41,5038840.5
15297,"Honoré-Mercier","Lacordaire","Saint-Léonard",296579.98,5050583
15701,"Archevêque l'","Léger","Montréal-Nord",294128.6,5051522.62
15738,"Lacordaire","Lafourcade","Saint-Léonard",297006.25,5050117.17
15739,"Lacordaire","Lavoisier","Saint-Léonard",296838.68,5050372.96
15744,"Lacordaire","Paimpol","Saint-Léonard",298102.23,5049094.14
15747,"Lacordaire","Renty de","Saint-Léonard",297159.8,5049863.42
15982,"Laval","Marcel-Laurin","Saint-Laurent",288743.64,5042363.17
16043,"Léger","Sainte-Colette","Montréal-Nord",294503.03,5052444.43
16044,"Léger","Sainte-Gertrude","Montréal-Nord",294215.98,5051776.7
16193,"Lucien-Thimens Place","Marcel-Laurin","Saint-Laurent",289827.43,5041393.84
16234,"Oakwood","Saint-Charles","Pierrefonds - Roxboro",275944.38,5035878.67
16283,"Marcel-Laurin","Poirier","Saint-Laurent",289181.33,5041973.21
16704,"Notre-Dame","Saint-Joseph","Lachine",292960.75,5033458
16730,"O'Brien","Rochon","Saint-Laurent",290492.3,5041955.5
16732,"O'Brien","Tassé","Saint-Laurent",290272.5,5042150
16776,"Ouellette","Saint-Jacques","Lachine",293459.81,5033977.25
16984,"1 ere Avenue","Provost","Lachine",291920.16,5033578
17234,"1ère Avenue","Saint-Antoine","Lachine",291922.41,5033364
17652,"32 e Avenue","Victoria","Lachine",289768.22,5033047.82
17874,"Parc","6653 Parc","Rosemont - Petite-Patrie",295799.62,5043124
17886,"Lecocq","Papineau","Villeray - Saint-Michel - Parc-Extension",294027.9,5046863
17888,"Assomption","Accès Stat. Pyramides Olympiques","Mercier - Hochelaga - Maisonneuve",300657.53,5047920
17890,"Viau","Piste cyclable 200m au nord de Sherbrooke","Rosemont - Petite-Patrie",300365.03,5047359.5
17892,"Cavendish","Outardes","Saint-Laurent",287712.7,5041246.5
17893,"5ème Avenue","Sherbrooke Est","Rivières-des-Prairies - Pointe-aux-Trembles",303616.7,5055569.5
17896,"Place d'Armes Ouest","Saint-Jacques","Ville-Marie",300282.63,5040537.21
17900,"Atwater","Saint-Patrick (int. Ouest)","Sud-Ouest",298898.44,5037442.5
17910,"Henri-Bourassa","Pie-IX","Montréal-Nord",293677.6,5050669
17911,"Henri-Bourassa","Bretelle d'accès pont Pie IX / Hébert","Montréal-Nord",293746.3,5050787.5
17912,"Côte-de-Liesse Dir Ouest","Devonshire","Saint-Laurent",291579.47,5040162
17915,"Marcel-Laurin","Voie Réservée Bus","Saint-Laurent",291670.97,5040287.5
17920,"Henri-Bourassa Est","Sherbrooke Ouest","Rivières-des-Prairies - Pointe-aux-Trembles",304258.94,5058502.5
17921,"Henri-Bourassa Est","Sherbrooke Est","Rivières-des-Prairies - Pointe-aux-Trembles",304346.75,5058481.5
17927,"Crowley","Upper-Lachine","Côte-des-Neiges - Notre-Dame-de-Grâce",296510.74,5036908.22
17929,"Lacordaire","Accès Gare AMT","Saint-Léonard",295961,5051196
17930,"Henri-Bourassa","Pie-IX (int. Nord)","Montréal-Nord",293612.06,5050757
17931,"Louis-Hippolite-La Fontaine","Maurice-Duplessis côté Ouest","Rivières-des-Prairies - Pointe-aux-Trembles",296646.47,5053620
17933,"Jarry","Traverse Scolaire 100m O St-Laurent","Villeray - Saint-Michel - Parc-Extension",294501.12,5044240.79
17936,"Décarie","Accès sud CUSM","Côte-des-Neiges - Notre-Dame-de-Grâce",296744.47,5036866.5
17939,"Berri","1640 sortie BUS Ilot Voyageur","Ville-Marie",299867.44,5041817.98
17940,"Cabot","Saint-Rémi","Sud-Ouest",297986.97,5036164
17951,"3200 (Collège Brébreuf et Stat. Hôp. Sainte-Justine)","Côte-Sainte-Catherine","Côte-des-Neiges - Notre-Dame-de-Grâce",295066,5040224
18024,"Notre-Dame","Face au 1700  (Molson)","Ville-Marie",301066.8,5042114.5
18026,"Côte-des-Neiges","McDougall","Ville-Marie",297529.68,5039449.15
